names,languages,stars,watches,forks,commits,branches,contributors,issues,readme
freeCodeCamp,JavaScript,308649,8376,23684,25355,5,3999,163,6200
996.ICU,Rust,249141,4523,21217,3019,1,605,0,4657
vue,JavaScript,156926,6012,23646,3085,44,289,291,2895
react,JavaScript,143727,6636,27597,12812,49,1361,483,3309
tensorflow,C++,140937,8485,79892,78840,33,2396,3102,3480
bootstrap,JavaScript,138610,7183,68131,19337,57,1108,331,5770
free-programming-books,none,137096,8564,33912,5200,12,1096,19,1815
awesome,none,125921,6569,16797,892,2,439,12,22734
You-Dont-Know-JS,none,117033,5352,23437,1654,4,169,76,2261
ohmyzsh,Shell,103392,2593,18729,5481,1,1498,214,9648
coding-interview-university,none,97837,5309,28846,1318,1,139,26,69549
developer-roadmap,none,95745,5303,15471,253,2,22,5,1975
gitignore,none,95223,2959,49830,3207,6,1110,0,6152
javascript,JavaScript,92602,3516,17991,1796,2,429,79,76527
vscode,TypeScript,91489,2859,13941,61145,387,1091,4475,2893
CS-Notes,Java,90797,4549,29330,3591,1,207,18,986
d3,JavaScript,89925,4025,21806,4209,25,121,3,1530
flutter,Dart,86701,2704,11303,17643,28,534,5000,2249
linux,C,86465,6854,30209,900539,1,15600,0,742
react-native,JavaScript,84879,3709,18961,19379,110,2062,721,3690
system-design-primer,Python,82651,4355,13915,280,2,75,78,71615
electron,C++,80684,2812,10766,23166,167,928,1261,3165
awesome-python,Python,79254,5190,15599,1430,2,325,1,51023
Python-100-Days,Jupyter Notebook,78068,4822,30979,296,1,12,224,11159
create-react-app,JavaScript,76042,1839,18136,2493,6,787,430,6971
public-apis,Python,70648,2055,8017,2132,2,545,5,51023
axios,JavaScript,69633,1165,6167,905,8,199,284,18878
go,Go,68953,3422,9809,42513,37,1464,5000,1390
JavaGuide,Java,68806,3607,23514,2063,1,124,21,4586
the-art-of-command-line,none,68154,2193,7759,1185,2,150,78,34731
node,JavaScript,67668,2928,16153,29600,32,2645,910,16704
Python,Python,67036,3284,20242,1419,7,428,15,416
animate.css,CSS,64774,2424,13816,456,6,96,30,6344
kubernetes,Go,63213,3138,22420,88446,40,2446,2156,1917
free-programming-books-zh_CN,none,63154,5447,19641,901,1,112,135,9992
Font-Awesome,JavaScript,62073,1411,10520,64,6,6,5000,4086
javascript-algorithms,JavaScript,61909,2461,10068,790,4,87,49,11037
models,Python,61642,2995,39306,4198,124,572,1023,1129
youtube-dl,Python,61598,1832,10676,17560,5,714,2612,85118
build-your-own-x,none,60204,2285,4321,379,1,60,42,17240
angular.js,JavaScript,59652,4091,28814,8978,17,1578,390,5272
puppeteer,JavaScript,58609,1227,5840,1624,5,251,803,15736
three.js,JavaScript,58426,2474,22381,31921,5,1221,494,1452
TypeScript,TypeScript,58004,2119,7870,29642,361,444,4082,3500
angular,TypeScript,57735,3216,15845,17027,84,1089,2918,457
terminal,C++,57645,1214,5525,977,99,195,846,9496
laravel,PHP,57565,4616,17848,6139,12,524,0,2262
moby,Go,56352,3195,16273,38283,8,1849,3627,3163
ant-design,TypeScript,56331,1542,20352,17316,17,1002,435,2163
java-design-patterns,Java,55369,3948,17856,2402,12,186,156,2076
computer-science,none,54931,3352,8057,754,2,91,8,22735
30-seconds-of-code,JavaScript,54579,1710,6130,4780,5,189,3,1497
material-ui,JavaScript,54509,1330,14426,11067,4,1652,328,2256
jquery,JavaScript,52954,3425,19064,6465,4,277,70,10319
webpack,JavaScript,52907,1605,6782,10470,40,584,368,11707
redux,TypeScript,52208,1472,13738,2961,5,721,28,16398
thefuck,Python,52059,826,2614,1555,7,140,182,19297
awesome-vue,none,51995,2242,7319,2813,6,1526,86,176110
awesome-go,Go,51917,2620,6855,3328,4,1195,8,147106
atom,JavaScript,51137,2478,13996,37358,126,436,485,2784
swift,C++,50619,2518,8182,101825,314,759,0,12488
reveal.js,JavaScript,50299,1560,14570,2416,8,255,457,56521
LeetCodeAnimation,Java,49747,2289,8983,87,1,5,0,1613
vue-element-admin,Vue,49237,1918,16903,966,13,104,549,3713
flask,Python,48875,2278,13272,3837,4,566,18,1591
socket.io,JavaScript,48751,1664,8898,1720,19,155,449,5297
express,JavaScript,47344,1821,7943,5558,12,230,123,2462
Semantic-UI,JavaScript,47323,1426,4999,6684,32,190,867,4204
shadowsocks-windows,C#,47312,2559,15184,1345,8,65,49,4036
Chart.js,JavaScript,47211,1449,10179,3051,4,313,367,559
django,Python,47189,2201,20363,27917,21,1854,0,1815
elasticsearch,Java,47003,2785,15960,50582,293,1355,2176,7786
keras,Python,46783,2067,17741,5342,6,820,2790,7669
httpie,Python,45757,1080,2954,1148,2,84,135,38161
storybook,TypeScript,45545,693,4219,24957,110,914,476,5433
json-server,JavaScript,45513,973,4183,789,3,60,448,11898
Apollo-11,Assembly,45415,1292,6230,354,3,103,14,2783
spring-boot,Java,45371,3351,28674,25192,12,651,423,8248
rails,Ruby,45036,2553,18243,75943,45,3973,404,3854
next.js,JavaScript,44999,846,6324,5100,3,917,272,478
netdata,C,44811,1365,4072,9816,3,323,680,18003
FiraCode,Clojure,44430,720,1632,364,1,70,222,4436
deno,TypeScript,44361,1462,2058,2786,6,220,320,361
html5-boilerplate,JavaScript,43999,2606,10529,1778,3,231,2,3235
element,Vue,43773,1364,9882,4368,7,501,1235,2356
markdown-here,JavaScript,43759,1032,7727,807,10,12,246,10298
Front-end-Developer-Interview-Questions,HTML,43600,2409,8776,786,3,208,5,2682
resume.github.com,JavaScript,43586,336,1148,263,6,48,29,539
awesome-machine-learning,Python,43531,3319,11012,1368,2,416,0,99142
lodash,JavaScript,43499,871,4683,7994,7,287,35,1645
